gamma;sigma;type;method;sa_RMSE;weekly_RMSE;yearly_RMSE;trend_RMSE;remainder_RMSE;time;nb_years
0.2;;Deterministic DGP;STL;0.208926889608757;0.18180339419394;0.100420404516448;0.0619175155478721;0.198331345824357;0.0865160036087036;7
0.2;;Deterministic DGP;AMB;0.0726501810378076;0.0108454939336119;0.0715946385290463;0.0569342881098808;0.0726926742844281;2.74149544239044;7
0.2;;Deterministic DGP;MAMB;0.226176494429117;0.0310040908250283;0.203566684874938;0.126665368419617;0.174662225219011;2.64960395812988;7
0.2;;Deterministic DGP;TBATS;0.0514346027303417;0.00954537490220828;0.0504904728800389;0.0572568071779358;0.0553265570178204;18.3477194976807;7
0.2;;Deterministic DGP;PROPHET;0.0505467525507152;0.00896496321589793;0.0496575428009153;0.0235218330995074;0.050661800025407;2.00936634540558;7
0.2;;Deterministic DGP;MSTL;0.127281840291827;0.0657915137290101;0.107085838824662;0.0200202452067577;0.128095246787441;0.0210190916061401;7
0.4;;Deterministic DGP;X11;0.241377077600891;0.122995352862658;0.20593796424219;0.0376643723040806;0.243227807324875;0.144011702537537;7
0.4;;Deterministic DGP;STL;0.380336111744031;0.362166604969065;0.107962080119383;0.0671341616305695;0.37636871850778;0.0896036386489868;7
0.4;;Deterministic DGP;AMB;0.110716429133682;0.0233607617536032;0.10760764977046;0.0774996714565485;0.123923919350982;2.66372395038605;7
0.4;;Deterministic DGP;MAMB;0.35217952996835;0.0531015777726018;0.313132830853376;0.0868597897520761;0.328288060266282;3.17000503063202;7
0.4;;Deterministic DGP;TBATS;0.0626953703359714;0.0219685091196122;0.0584174224957868;0.0783536427298369;0.0879335505898137;18.9376081991196;7
0.4;;Deterministic DGP;PROPHET;0.0610588096970461;0.0194280253956837;0.0575350044781012;0.0313865953013085;0.0662189254260329;1.71703879833221;7
0.4;;Deterministic DGP;MSTL;0.212821526036331;0.131940201062069;0.162236203257207;0.0280673536946244;0.214328631725851;0.0185938405990601;7
0.6;;Deterministic DGP;X11;0.359473748202333;0.185151412845131;0.305673625749828;0.047706354022985;0.362112942577371;0.137820291519165;7
0.6;;Deterministic DGP;STL;0.561405775946657;0.542794567154804;0.128712737901045;0.0788503228873407;0.559347286844657;0.0862607860565186;7
0.6;;Deterministic DGP;AMB;0.151025476263285;0.0344541904031958;0.14619495419488;0.0944658665784567;0.171842153933666;2.64722541809082;7
0.6;;Deterministic DGP;MAMB;0.43574222199676;0.066245377230798;0.33383459303293;0.0628235708055304;0.359283446507784;2.41880226135254;7
0.6;;Deterministic DGP;TBATS;0.0784562800538758;0.0315686829497427;0.0711476360843145;0.0935975872931404;0.114223528395824;18.2594100570679;7
0.6;;Deterministic DGP;PROPHET;0.0764981592084865;0.0290139674115281;0.0704257302340649;0.0364007473319285;0.0840690502360342;1.81145708084106;7
0.6;;Deterministic DGP;MSTL;0.305479259065243;0.196630948572183;0.226298468447479;0.0330124026955232;0.307061441301925;0.0154676198959351;7
0.2;0.025;Stochastic DGP;X11;0.231286727655155;0.0696803538460263;0.221566244645873;0.0781420808763833;0.212690506202628;0.136161012649536;7
0.2;0.025;Stochastic DGP;STL;0.36946204054202;0.182850949931535;0.318839273643422;0.165193182199599;0.304978492956862;0.0856840801239014;7
0.2;0.025;Stochastic DGP;AMB;0.33934639923475;0.0660939144853888;0.331605299440547;0.329174150270862;0.104794065528879;3.39740327835083;7
0.2;0.025;Stochastic DGP;MAMB;0.227356464461782;0.0942024978186478;0.231307218706849;0.0874208132893192;0.207518516105798;3.58411648750305;7
0.2;0.025;Stochastic DGP;TBATS;0.344450341157038;0.143124801848479;0.306020348175777;0.351500603097729;0.198751024093861;23.7550778245926;7
0.2;0.025;Stochastic DGP;PROPHET;0.457053230837451;0.239419440014159;0.376112668966198;0.209437848906355;0.384868319265725;2.95638372421265;7
